GemType,Points,Cost[Onyx],Cost[Diamond],Cost[Ruby],Cost[Sapphire],Cost[Emerald]

Onyx,1,0,0,0,4,0
Onyx,0,0,0,1,0,2
Onyx,0,0,2,1,2,0
Onyx,0,0,1,1,2,1
Onyx,0,0,1,1,1,1
Onyx,0,0,0,0,0,3
Onyx,0,0,2,0,0,2
Onyx,0,1,0,3,0,1

Diamond,0,1,3,0,1,0
Diamond,1,0,0,0,0,4
Diamond,0,1,0,2,0,0
Diamond,0,1,0,1,1,1
Diamond,0,1,0,1,1,2
Diamond,0,2,0,0,2,0
Diamond,0,1,0,0,2,2
Diamond,0,0,0,0,3,0

Ruby,0,1,1,0,1,1
Ruby,0,1,2,0,1,1
Ruby,0,0,2,2,0,0
Ruby,0,3,1,1,0,0
Ruby,0,0,0,0,2,1
Ruby,1,0,4,0,0,0
Ruby,0,0,3,0,0,0
Ruby,0,2,2,0,0,1

Sapphire,0,1,1,2,0,1
Sapphire,0,2,1,0,0,0
Sapphire,0,1,1,1,0,1
Sapphire,0,0,1,2,0,2
Sapphire,1,0,0,4,0,0
Sapphire,0,0,0,1,1,3
Sapphire,0,2,0,0,0,2
Sapphire,0,3,0,0,0,0

Emerald,0,0,3,0,1,0
Emerald,0,2,0,2,1,0
Emerald,0,0,0,3,0,0
Emerald,0,2,1,1,1,0
Emerald,0,0,0,2,2,0
Emerald,0,0,1,0,3,1
Emerald,0,1,1,1,1,0
Emerald,1,4,0,0,0,0
